EventTime	Type	Energy_MeV	Time_ns
553	proton	0.035680	8.188666
553	proton	0.000647	8.188949
558	proton	1.197555	9.733681
559	proton	1.941620	9.012829
559	proton	0.444747	9.016328
559	proton	0.000996	9.017133
560	proton	0.567442	9.257432
568	proton	0.863737	9.650773
568	proton	0.029855	9.652331
568	proton	0.000806	9.652607
569	proton	1.785026	8.837628
569	proton	0.261699	8.840978
588	proton	1.602468	8.129216
589	proton	0.934564	9.438175
596	proton	0.272198	9.440109
596	proton	0.001035	9.440650
598	proton	0.150655	11.834764
598	proton	0.000993	11.835154
598	proton	0.146894	11.631025
598	proton	1.636113	9.456839
598	proton	0.090911	9.459984
603	proton	0.597113	9.433322
603	proton	0.001301	9.434387
604	proton	0.634390	9.648415
608	proton	0.000000	527.014652
608	proton	0.000000	403.996616
608	proton	0.000000	225.067923
608	proton	0.000006	162.224333
608	proton	0.000046	119.083340
608	proton	0.000055	21.816735
608	proton	0.000639	13.506696
608	proton	0.000810	10.830959
608	proton	0.021750	10.638639
608	proton	0.045113	9.521137
608	proton	0.002157	9.521429
608	proton	2.260192	9.173294
608	proton	0.860313	9.176969
608	proton	0.002306	9.178520
613	proton	0.746688	8.843740
615	proton	1.869855	8.775831
615	proton	0.347561	8.779269
643	proton	0.854562	8.943394
653	proton	0.555320	7.966312
653	proton	0.006827	7.967303
658	proton	2.461773	9.230190
658	proton	1.128030	9.233925
660	proton	0.396579	9.431694
662	proton	2.047466	8.553857
662	proton	0.592279	8.557429
667	proton	0.320381	8.000067
667	proton	0.001559	8.000678
668	proton	0.261651	9.576583
668	proton	0.369573	9.382406
669	proton	0.124572	9.454456
669	proton	0.473589	9.235538
669	proton	1.876901	9.110771
669	proton	0.381838	9.114215
669	proton	0.002310	9.114919
684	proton	0.345481	8.915006
684	proton	0.010144	8.915654
689	proton	0.951474	8.770904
689	proton	0.012808	8.772632
693	proton	1.416526	8.775914
693	proton	0.023391	8.778608
693	proton	0.002738	8.778877
701	proton	0.978249	7.282069
712	proton	0.114760	8.984492
717	proton	2.080477	8.889754
717	proton	0.635212	8.893346
717	proton	0.014040	8.894478
723	proton	0.041500	7.379269
723	proton	0.000962	7.379557
728	proton	1.327691	9.444328
740	proton	0.553958	9.101019
740	proton	2.191281	8.369469
740	proton	0.762281	8.373116
740	proton	0.009374	8.374481
740	proton	0.001273	8.374659
755	proton	0.152841	10.316939
755	proton	1.940059	10.120278
755	proton	0.447013	10.123775
755	proton	0.005527	10.124584
761	proton	2.457026	9.339678
761	proton	1.140928	9.343412
763	proton	1.139195	9.277011
763	proton	0.027105	9.279118
766	proton	0.027759	9.259896
766	proton	2.419031	9.059873
766	proton	1.122442	9.063598
769	proton	0.730007	10.020773
769	proton	0.012194	10.022078
770	proton	0.804604	9.484735
770	proton	0.022460	9.486180
776	proton	0.782186	9.054785
777	proton	0.142700	9.243603
777	proton	0.002434	9.243984
781	proton	1.655669	8.818944
781	proton	0.049439	8.822120
781	proton	0.000608	8.822415
787	proton	1.982010	9.723694
787	proton	0.488167	9.727223
787	proton	0.011032	9.728100
791	proton	0.349962	8.922543
791	proton	0.005341	8.923198
798	proton	2.092363	9.151357
798	proton	0.651845	9.154955
799	proton	0.800943	9.873928
799	proton	0.000190	9.875365
799	proton	0.891443	9.238392
799	proton	0.015061	9.240003
799	proton	0.000903	9.240220
816	proton	1.450359	9.262140
816	proton	0.026739	9.264907
816	proton	0.005488	9.265180
817	proton	0.516024	9.603327
828	proton	2.537134	9.044634
828	proton	1.260334	9.048386
832	proton	0.821579	7.898313
833	proton	0.059154	9.088385
833	proton	0.002467	9.088688
834	proton	2.421265	8.971448
834	proton	1.029876	8.975173
844	proton	2.483566	7.410415
844	proton	1.135072	7.414155
844	proton	0.010852	7.416254
847	proton	0.812910	9.374902
854	proton	0.171934	9.206196
866	proton	0.316174	7.832241
866	proton	0.009347	7.832845
866	proton	2.269498	7.724374
866	proton	0.881574	7.728053
877	proton	0.181968	8.631286
877	proton	0.000769	8.631711
884	proton	0.584120	9.964838
884	proton	0.779760	9.550737
894	proton	1.558974	9.925930
894	proton	0.004289	9.928933
899	proton	0.679897	8.880748
899	proton	0.009940	8.881960
900	proton	2.195864	9.299903
900	proton	0.777804	9.303552
905	proton	1.060567	9.813835
905	proton	0.013108	9.815781
907	proton	0.960371	10.564871
907	proton	0.488237	10.383527
907	proton	0.004269	10.384404
908	proton	0.208813	9.690539
908	proton	0.001657	9.690997
916	proton	1.558036	9.179582
916	proton	0.014143	9.182584
919	proton	1.906255	7.721944
919	proton	0.440325	7.725414
921	proton	2.098952	9.066211
921	proton	0.674944	9.069813
921	proton	0.004087	9.071017
922	proton	2.145601	9.841456
922	proton	0.697610	9.845082
923	proton	1.883336	9.439782
923	proton	0.412487	9.443231
923	proton	0.002794	9.443984
934	proton	1.155789	9.179664
934	proton	0.008634	9.181805
935	proton	1.403708	9.639705
945	proton	0.428382	9.284040
945	proton	0.012022	9.284818
951	proton	1.449214	8.343571
954	proton	0.875834	9.541870
962	proton	1.803233	8.553419
962	proton	0.272062	8.556790
966	proton	0.700322	9.541501
966	proton	0.004633	9.542752
988	proton	0.810303	9.397909
992	proton	2.271280	9.735362
992	proton	0.915272	9.739041
1034	proton	0.266938	9.454853
1041	proton	1.263155	8.986597
1041	proton	0.006839	8.988963
1044	proton	0.085743	8.828022
1044	proton	0.002305	8.828349
1045	proton	1.183555	8.392725
1062	proton	1.316010	8.936263
1062	proton	0.042653	8.938741
1064	proton	0.670010	8.998351
1095	proton	1.582958	9.682049
1098	proton	1.724716	8.830875
1098	proton	0.129606	8.834151
1107	proton	0.396725	9.978610
1107	proton	0.001315	9.979338
1117	proton	1.631922	9.616519
1117	proton	0.001768	9.619657
1120	proton	1.129402	8.819307
1120	proton	0.000567	8.821394
1125	proton	1.905609	7.734899
1125	proton	0.372517	7.738369
1132	proton	1.270501	8.728431
1150	proton	0.681733	10.136583
1157	proton	0.191334	8.381389
1158	proton	1.138601	9.262918
1158	proton	0.015488	9.265024
1158	proton	0.001177	9.265244
