0	6.859	0
0.1	-1.5075	0.83665
0.3	-0.552	0.55
0.4	-0.376	0.4796
0.5	-0.247	0.4151
0.7	-0.147	0.3451
1	-0.066	0.2641
2	-0.0282	0.1885
2.5	-0.0178	0.1625
5	-0.007066667	0.108833333
8	-0.0042	0.0859
10	-0.0031	0.0749
12	-0.0026	0.0689
13	-0.0022	0.0637
14	-0.0021	0.0623
15	-0.00156	0.0542
20	-0.00106	0.0442
